pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
88,1,0.7,49.224987,45.998108,0.11,0.11,3.226879,0
89,1,0.7,49.324688,40.08151,0.11,0.11,9.243178,0
90,1,0.7,45.370544,46.099464,0.11,0.11,-0.72892,0
91,1,0.7,46.5374,51.933556,0.11,0.11,-5.396156,0
92,1,0.7,40.041447,47.09179,0.11,0.11,-7.050343,0
93,1,0.7,51.42988,45.03924,0.11,0.11,6.39064,0
94,1,0.7,47.42006,46.071186,0.11,0.11,1.348874,0
95,1,0.7,46.551952,51.96987,0.11,0.11,-5.417918,0
96,1,0.7,47.851562,52.281906,0.11,0.11,-4.430344,0
97,1,0.7,51.085136,54.152287,0.11,0.11,-3.067151,0
98,1,0.7,49.772575,54.67288,0.11,0.11,-4.900305,0
99,1,0.7,50.879086,53.906075,0.11,0.11,-3.026989,0
100,1,0.7,46.63845,53.851463,0.11,0.11,-7.213013,0
101,1,0.7,50.477135,50.128548,0.11,0.11,0.348587,0
102,1,0.7,50.424156,50.25189,0.11,0.11,0.172266,0
103,1,0.7,53.333176,50.2149,0.11,0.11,3.118276,0
104,1,0.7,48.59304,50.34762,0.11,0.11,-1.75458,0
105,1,0.7,51.06803,50.18123,0.11,0.11,0.8868,0
106,1,0.7,48.277576,50.894104,0.11,0.11,-2.616528,0
107,1,0.7,48.27118,49.992935,0.11,0.11,-1.721755,0
108,1,0.7,45.869087,51.198357,0.11,0.11,-5.32927,0
21,1,1,57.38634,57.469322,0.78,0.28,-0.082982,0.5
22,1,1,48.17145,55.975513,0.11,0.12,-7.804063,-0.01
23,1,1,59.385216,54.41554,0.74,0.12,4.969676,0.62
24,1,1,61.186626,58.230682,1.1,0.17,2.955944,0.93
25,1,1,60.522926,55.506138,1.12,0.11,5.016788,1.01
26,1,1,55.93694,54.795967,0.42,0.13,1.140973,0.29
27,1,1,58.42428,58.340748,0.51,0.12,0.083532,0.39
28,1,1,60.29771,59.2187,0.99,0.12,1.07901,0.87
29,1,1,60.318916,47.320713,1.08,0.11,12.998203,0.97
30,1,1,57.205547,56.646408,0.32,0.12,0.559139,0.2
31,1,1,50.80076,60.197895,0.11,0.66,-9.397135,-0.55
32,1,1,49.89285,57.97785,0.11,0.11,-8.085,0
33,1,1,60.289364,54.294758,0.96,0.11,5.994606,0.85
34,1,1,62.139732,56.94988,1.07,0.12,5.189852,0.95
35,1,1,58.23699,58.88087,0.66,0.54,-0.64388,0.12
36,1,1,58.6017,39.734768,0.44,0.11,18.866932,0.33
37,1,1,56.1443,58.714695,0.15,0.78,-2.570395,-0.63
38,1,1,53.717175,55.3731,0.13,0.22,-1.655925,-0.09
39,1,1,56.757874,55.323315,0.63,0.21,1.434559,0.42
40,1,1,62.160446,51.21809,0.77,0.11,10.942356,0.66
41,1,1,58.976994,50.065937,1.08,0.11,8.911057,0.97
42,1,1,55.334034,56.025204,0.77,0.6,-0.69117,0.17
43,1,1,60.767128,48.914833,0.7,0.11,11.852295,0.59
44,1,1,58.76788,57.379086,0.5,0.47,1.388794,0.03
45,1,1,60.58035,52.502823,0.9,0.11,8.077527,0.79
46,1,1,57.751358,53.720245,0.33,0.11,4.031113,0.22
47,1,1,58.640778,54.955414,0.7,0.41,3.685364,0.29
48,1,1,56.95036,58.803032,0.35,0.79,-1.852672,-0.44
49,1,1,58.99223,52.3432,0.53,0.21,6.64903,0.32
50,1,1,57.319492,59.54283,0.32,0.52,-2.223338,-0.2
51,1,1,65.314896,57.91406,0.73,0.63,7.400836,0.1
52,1,1,68.07916,59.51766,0.97,0.62,8.5615,0.35
53,1,1,68.75439,54.118324,1.08,0.32,14.636066,0.76
54,1,1,64.4888,57.377872,1.07,0.87,7.110928,0.2
55,1,1,68.34243,55.744743,0.81,0.84,12.597687,-0.03
56,1,1,63.497795,57.136356,0.49,1.01,6.361439,-0.52
57,1,1,61.930096,57.672497,0.45,0.62,4.257599,-0.17
58,1,1,56.281002,57.05792,0.6,0.63,-0.776918,-0.03
59,1,1,57.439514,55.192177,0.64,0.4,2.247337,0.24
60,1,1,54.997986,57.599392,0.29,0.23,-2.601406,0.06
61,1,1,59.422142,52.541794,0.37,0.26,6.880348,0.11
62,1,1,59.76909,54.55928,0.61,0.32,5.20981,0.29
63,1,1,62.29774,48.815773,0.55,0.11,13.481967,0.44
64,1,1,63.789562,50.64122,0.52,0.11,13.148342,0.41
65,1,1,59.713257,48.286724,0.41,0.11,11.426533,0.3
66,1,1,56.18018,48.54891,0.2,0.11,7.63127,0.09
67,1,1,60.407234,49.582367,0.72,0.11,10.824867,0.61
68,1,1,60.42412,41.90262,1.11,0.11,18.5215,1
69,1,1,57.674095,51.97777,0.28,0.11,5.696325,0.17
70,1,1,54.562622,44.54399,0.11,0.11,10.018632,0
71,1,1,56.975025,53.567524,0.41,0.32,3.407501,0.09
72,1,1,61.002617,51.758873,0.58,0.11,9.243744,0.47
73,1,1,62.229855,54.455097,0.37,0.11,7.774758,0.26
74,1,1,64.04959,51.9052,0.6,0.2,12.14439,0.4
75,1,1,58.24426,56.817005,0.48,0.26,1.427255,0.22
76,1,1,50.43273,53.19307,0.12,0.11,-2.76034,0.01
77,1,1,54.113598,52.69987,0.23,0.13,1.413728,0.1
