,db(lab),db(audi),duration(lab),duration(audi),,
244,80.11437988,82.00930786,0.83,0.69,0.14,-1.894927979
245,80.95252991,82.80644226,0.83,0.76,0.07,-1.853912354
246,80.8286438,82.41113281,0.92,0.92,0,-1.582489014
247,80.86766052,82.73718262,1,1,0,-1.869522095
248,79.50062561,81.83140564,0.83,0.69,0.14,-2.330780029
249,80.67033386,82.86348724,0.9,0.79,0.11,-2.193153381
250,80.81026459,82.57673645,0.92,0.92,0,-1.766471863
251,80.8795166,82.73381042,1,1,0,-1.854293823
252,81.71084595,82.75613403,0.79,0.68,0.11,-1.045288086
253,80.77576447,82.41399384,0.8,0.76,0.04,-1.63822937
254,80.85351563,82.67485046,1,0.92,0.08,-1.821334839
255,79.35702515,82.69284821,1,1,0,-3.335823059
256,64.01977539,67.29110718,0.2,0.27,-0.07,-3.271331787
257,55.94226837,47.9568634,0.15,0.11,0.04,7.985404968
258,56.16307831,44.805336,0.15,0.11,0.04,11.35774231
259,56.671875,40.99077988,0.18,0.11,0.07,15.68109512
260,56.15401459,60.64741135,0.12,0.15,-0.03,-4.493396759
261,56.23129654,45.79614639,0.15,0.11,0.04,10.43515015
262,56.72789001,45.30447388,0.21,0.11,0.1,11.42341614
263,57.29373932,42.88904572,0.15,0.11,0.04,14.4046936
264,59.05412292,62.32744598,0.15,0.19,-0.04,-3.273323059
265,59.19415283,59.65328217,0.18,0.17,0.01,-0.459129333
266,57.80138779,59.37997818,0.35,0.14,0.21,-1.578590393
267,61.2432251,59.51912689,0.44,0.17,0.27,1.724098206
268,61.61128998,65.15287781,0.17,0.2,-0.03,-3.54158783
269,61.58233643,66.2141037,0.2,0.31,-0.11,-4.631767273
270,61.43569946,65.91238403,0.48,0.46,0.02,-4.47668457
271,61.94850922,65.92582703,0.75,0.8,-0.05,-3.97731781
272,62.26232147,68.61975098,0.28,0.26,0.02,-6.357429504
273,64.67366028,69.48116302,0.36,0.34,0.02,-4.807502747
274,63.67374802,69.61536407,0.48,0.48,0,-5.941616058
275,65.85453796,69.41898346,0.8,0.86,-0.06,-3.564445496
276,66.40461731,70.80355835,0.41,0.32,0.09,-4.39894104
277,67.83049011,72.53025055,0.44,0.42,0.02,-4.699760437
278,66.90962219,72.5187912,0.61,0.52,0.09,-5.609169006
279,70.08514404,72.62174988,0.87,0.92,-0.05,-2.536605835
